id,clase,valor,archivo,ubicacion,veredicto_humano,nota
bord_000,borde_degenerado,0.075 cm,rand_080HTM498A_specification.json,right_btorso.8,,
bord_001,borde_degenerado,0.047 cm,rand_2HW0KFJ49O_specification.json,skirt_back.0,,
bord_002,borde_degenerado,0.497 cm,rand_3AU8D8P2KL_specification.json,left_sleeve_b.3,,
bord_003,borde_degenerado,0.146 cm,rand_3YTFHQ9LFU_specification.json,right_ftorso.5,,
bord_004,borde_degenerado,0.075 cm,rand_86YMBN1O4S_specification.json,right_btorso.8,,
bord_005,borde_degenerado,0.436 cm,rand_8J2FANKZH5_specification.json,right_ftorso.3,,
bord_006,borde_degenerado,0.496 cm,rand_BMD0266VE9_specification.json,skirt_front.5,,
bord_007,borde_degenerado,0.075 cm,rand_G9ZOGMVY3A_specification.json,left_btorso.4,,
bord_008,borde_degenerado,0.407 cm,rand_GNOE215HLP_specification.json,right_ftorso.3,,
bord_009,borde_degenerado,0.146 cm,rand_I4BM4TG27T_specification.json,right_ftorso.4,,
bord_010,borde_degenerado,0.39 cm,rand_IKQ5DA9HLG_specification.json,right_sleeve_b.1,,
bord_011,borde_degenerado,0.075 cm,rand_IW3PP5Y2TW_specification.json,right_btorso.8,,
bord_012,borde_degenerado,0.141 cm,rand_K1V9OH2SXB_specification.json,right_btorso.8,,
bord_013,borde_degenerado,0.47 cm,rand_KO6Y70ICA2_specification.json,right_ftorso.3,,
bord_014,borde_degenerado,0.075 cm,rand_LARM4BWVL6_specification.json,right_btorso.8,,
bord_015,borde_degenerado,0.358 cm,rand_LX5M5W56EU_specification.json,skirt_back.0,,
bord_016,borde_degenerado,0.075 cm,rand_MHRRSL751P_specification.json,right_btorso.8,,
bord_017,borde_degenerado,0.075 cm,rand_MZT95V5W7F_specification.json,right_btorso.9,,
bord_018,borde_degenerado,0.453 cm,rand_NA0MO7BCCX_specification.json,left_ftorso.9,,
bord_019,borde_degenerado,0.146 cm,rand_OOU0PY537C_specification.json,left_ftorso.7,,
bord_020,borde_degenerado,0.075 cm,rand_RWOZKSBDJG_specification.json,right_btorso.8,,
bord_021,borde_degenerado,0.048 cm,rand_SMV2H6X7KU_specification.json,skirt_front.1,,
bord_022,borde_degenerado,0.263 cm,rand_T539DRTFMP_specification.json,left_ftorso.9,,
bord_023,borde_degenerado,0.146 cm,rand_T9TLANV5I3_specification.json,right_ftorso.5,,
bord_024,borde_degenerado,0.334 cm,rand_TJBPZVY36S_specification.json,left_ftorso.9,,
bord_025,borde_degenerado,0.295 cm,rand_TO6DPX0VHB_specification.json,skirt_front.5,,
bord_026,borde_degenerado,0.419 cm,rand_WJ11B5PGXW_specification.json,left_sleeve_b.3,,
bord_027,borde_degenerado,0.493 cm,rand_WZJ6AQW28C_specification.json,right_ftorso.3,,
bord_028,borde_degenerado,0.456 cm,rand_XLOR2W206Y_specification.json,left_ftorso.9,,
bord_029,borde_degenerado,0.368 cm,rand_XTBGAYULF8_specification.json,left_ftorso.3,,
esqu_030,esquina_aguda,3.86 deg,rand_0G7I4E7FW9_specification.json,left_ftorso.9,,
esqu_031,esquina_aguda,14.9 deg,rand_2Y69CQ08JE_specification.json,skirt_panel_3.0,,
esqu_032,esquina_aguda,8.38 deg,rand_39XGZEX36T_specification.json,left_btorso.1,,
esqu_033,esquina_aguda,14.93 deg,rand_3G1DDHTG0K_specification.json,skirt_panel_3.0,,
esqu_034,esquina_aguda,14.93 deg,rand_3G1DDHTG0K_specification.json,skirt_panel_0.0,,
esqu_035,esquina_aguda,12.83 deg,rand_3MMOMSBIVY_specification.json,skirt_panel_7.0,,
esqu_036,esquina_aguda,4.47 deg,rand_73QYHJJHM2_specification.json,left_ftorso.9,,
esqu_037,esquina_aguda,10.92 deg,rand_95A62XA4PM_specification.json,skirt_back.1,,
esqu_038,esquina_aguda,5.61 deg,rand_BA559FHOK8_specification.json,left_btorso.1,,
